geometry,园林名称,地址,开放状态,年代,名录,名录ID,园林ID,坐标系
string,string,string,string,string,string,string,string,string
POINT (120.629211 31.324194),拙政园,江苏省苏州市姑苏区东北街178号,Open,明代,名录一,1,1,GCJ02
POINT (120.59226 31.315369),留园,江苏省苏州市姑苏区留园路338号,Open,明代,名录一,1,2,GCJ02
POINT (120.63377 31.298075),网师园,江苏省苏州市姑苏区阔家头巷11号,Open,清代,名录一,1,3,GCJ02
POINT (120.613522 31.310945),环秀山庄,江苏省苏州市姑苏区景德路272号,Open,清代,名录一,1,4,GCJ02
POINT (120.625746 31.294656),沧浪亭,江苏省苏州市姑苏区沧浪亭街3号,Open,宋代,名录一,1,5,GCJ02
POINT (120.629095 31.321068),狮子林,江苏省苏州市姑苏区园林路23号,Open,元代,名录一,1,6,GCJ02
POINT (120.608921 31.313032),艺圃,江苏省苏州市姑苏区文衙弄5-7号,Open,明代,名录一,1,7,GCJ02
POINT (120.63835 31.31623),耦园,江苏省苏州市姑苏区小新桥巷5-9号,Open,清代,名录一,1,8,GCJ02
POINT (120.618452 31.30921),曲园,江苏省苏州市姑苏区人民路马医科43号,Open,清代,名录一,1,9,GCJ02
POINT (120.623841 31.299967),天香小筑,江苏省苏州市姑苏区人民路878号,Open,民国,名录一,1,10,GCJ02
POINT (120.634556 31.299436),织造署旧址,江苏省苏州市姑苏区带城桥下塘18号,Not Open,清代,名录一,1,11,GCJ02
POINT (120.619574 31.32235),北寺塔,江苏省苏州市姑苏区人民路652号,Open,三国,名录一,1,12,GCJ02
POINT (120.568391 31.310469),寒山寺,江苏省苏州市姑苏区寒山寺弄24号,Open,南北朝,名录一,1,13,GCJ02
POINT (120.609836 31.317127),五峰园,江苏省苏州市姑苏区五峰园弄15号,Open,明代,名录一,1,14,GCJ02
POINT (120.587334 31.314823),西园,江苏省苏州市姑苏区留园路西园弄18号,Open,明代,名录一,1,15,GCJ02
POINT (120.631133 31.313289),惠荫园,江苏省苏州市姑苏区南显子巷18号,Not Open,明代,名录一,1,16,GCJ02
POINT (120.619847 31.308588),听枫园,江苏省苏州市姑苏区庆元坊12号,Not Open,清代,名录一,1,17,GCJ02
POINT (120.621266 31.307521),怡园,江苏省苏州市姑苏区人民路1265号,Open,清代,名录一,1,18,GCJ02
POINT (120.614624 31.303177),畅园,江苏省苏州市姑苏区庙堂巷22号,Not Open,清代,名录一,1,19,GCJ02
POINT (120.625003 31.295432),可园,江苏省苏州市姑苏区人民路708号,Not Open,清代,名录一,1,20,GCJ02
POINT (120.618722 31.30857),鹤园,江苏省苏州市姑苏区韩家巷4号,Not Open,清代,名录一,1,21,GCJ02
POINT (120.633488 31.319231),北半园,江苏省苏州市姑苏区白塔东路60号,Open,清代,名录一,1,22,GCJ02
POINT (120.629598 31.300712),柴园,江苏省苏州市姑苏区醋库巷44号,Open,清代,名录一,1,23,GCJ02
POINT (120.621784 31.318819),残粒园,江苏省苏州市姑苏区装驾桥巷34号,Not Open,清代,名录一,1,24,GCJ02
POINT (120.612375 31.309213),遂园,江苏省苏州市姑苏区景德路303号,Open,清代,名录一,1,25,GCJ02
POINT (120.580824 31.332256),塔影园,江苏省苏州市姑苏区山塘街845号,Not Open,清代,名录一,1,26,GCJ02
POINT (120.615199 31.324421),朴园,江苏省苏州市姑苏区高长桥8号,Open,民国,名录一,1,27,GCJ02
POINT (120.613913 31.312719),万氏花园,江苏省苏州市姑苏区王洗马巷7号,Not Open,清代,名录一,1,28,GCJ02
POINT (120.579809 31.334191),拥翠山庄,江苏省苏州市姑苏区虎丘景区内,Open,清代,名录一,1,29,GCJ02
POINT (120.621034 31.303427),南半园,江苏省苏州市姑苏区仓米巷24号,Not Open,清代,名录一,1,30,GCJ02
POINT (120.622272 31.308283),慕园,江苏省苏州市富仁坊巷72号,Not Open,清代,名录一,1,31,GCJ02
POINT (120.634828 31.301306),吴家花园,江苏省苏州市姑苏区东小桥弄3号,Not Open,民国,名录一,1,32,GCJ02
POINT (120.620076 31.30931),绣园,江苏省苏州市姑苏区马医科27号,Not Open,清代,名录一,1,33,GCJ02
POINT (120.743128 31.648659),燕园,常熟市辛峰巷8号,Open,清,名录二,2,1,GCJ02
POINT (120.73606 31.641833),曾园,常熟市翁府前7号,Open,清,名录二,2,2,GCJ02
POINT (120.73606 31.641833),赵园,常熟市翁府前7号,Open,清,名录二,2,3,GCJ02
POINT (120.719788 31.666049),兴福禅寺,常熟市寺路街108号,Open,南朝,名录二,2,4,GCJ02
POINT (120.855102 31.546749),松梅小圃,江苏省苏州市常熟市沙家浜镇唐市王家山金桩路11号,Open,清,名录二,2,5,GCJ02
POINT (120.748768 31.645453),方塔园,常熟市环城东路,Open,南宋,名录二,2,6,GCJ02
